school_id,name,source,school_type,ownership,state,lon,lat,enrolment,teachers,teacher_student_ratio,performance_score,performance_class,dropout_rate,dropout_risk,facilities_score,internet_access,electricity,toilets_per_100,dist_to_town_km,socioeconomic_idx,waec_pass_rate,urban_weight,poverty_index,literacy_rate,pred_score,pred_perf_cls,pred_dropout,perf_color,drop_color
1,Ahmadu Bello University Senate building,OSM,Primary,Mission/Faith-based,Kaduna,7.654684,11.150732,544,21,0.0386,51.99,Medium,33.75,High Risk,4.31,0,0,2.87,0.17,0.5139,49.8,0.52,0.48,0.68,57.05,Medium,High Risk,#fee08b,#d73027
2,Bayero University,OSM,Primary,Public,Kano,8.506542,12.016059,133,4,0.0301,61.8,Medium,31.16,High Risk,2.53,0,1,1.3,12.3,0.5168,33.25,0.6,0.55,0.65,51.41,Low,High Risk,#d73027,#d73027
3,Kulp Bible School,OSM,Junior Secondary,Public,Adamawa,13.170123,10.327314,178,6,0.0337,39.49,Low,43.51,High Risk,1.58,0,1,1.74,0.28,0.4351,56.76,0.38,0.58,0.52,48.1,Low,High Risk,#d73027,#d73027
4,Model Primary School Tudunsaibu,OSM,Junior Secondary,Public,Adamawa,12.533333,9.1,555,25,0.045,49.32,Low,49.85,High Risk,2.94,0,1,1.94,2.53,0.4119,66.78,0.38,0.58,0.52,46.04,Low,High Risk,#d73027,#d73027
5,Command Secondary School,OSM,Primary,Public,Kaduna,7.42363,10.444321,500,12,0.024,46.68,Low,37.87,High Risk,4.77,0,0,2.9,11.8,0.5513,48.33,0.52,0.48,0.68,54.79,Low,High Risk,#d73027,#d73027
6,National Teachers Institute,OSM,Primary,Private,Kaduna,7.469802,10.620374,253,9,0.0356,58.67,Medium,29.4,High Risk,6.61,0,1,3.5,1.02,0.6693,79.61,0.52,0.48,0.68,54.88,Low,High Risk,#d73027,#d73027
7,National Open University,OSM,Junior Secondary,Private,Kaduna,7.468483,10.613809,648,17,0.0262,56.02,Medium,30.71,High Risk,5.52,1,1,2.46,19.05,0.5186,45.25,0.52,0.48,0.68,63.93,Medium,High Risk,#fee08b,#d73027
8,DOMINION CHILDREN ACADEMY,OSM,Senior Secondary,Public,Edo,5.581611,6.360831,289,10,0.0346,70.72,High,30.13,High Risk,4.33,0,1,2.62,3.29,0.7511,79.62,0.62,0.28,0.82,66.49,High,Medium Risk,#1a9850,#fc8d59
9,Glisten Academy,OSM,Primary,Public,Federal Capital Territory,7.402321,9.077921,765,20,0.0261,38.89,Low,17.17,Medium Risk,6.84,0,1,2.47,1.46,0.8457,98.0,0.9,0.15,0.9,69.33,High,Low Risk,#1a9850,#1a9850
10,Army Children School Iwo-Road,OSM,Tertiary,Mission/Faith-based,Oyo,3.936274,7.405403,1337,43,0.0322,57.13,Medium,18.31,Medium Risk,5.37,1,1,3.8,4.78,0.7275,62.48,0.65,0.28,0.8,69.68,Medium,Medium Risk,#fee08b,#fc8d59
11,Bishop Philip Academy,OSM,Primary,Mission/Faith-based,Oyo,3.946241,7.405446,607,12,0.0198,54.7,Medium,28.52,High Risk,7.38,0,1,2.28,0.19,0.7357,82.65,0.65,0.28,0.8,66.65,High,Medium Risk,#1a9850,#fc8d59
12,Garrick Memorial Secondary School,OSM,Primary,Public,Edo,5.602005,6.331469,723,25,0.0346,64.81,Medium,21.23,Medium Risk,3.53,0,1,2.44,5.52,0.7432,56.24,0.62,0.28,0.82,66.05,High,Medium Risk,#1a9850,#fc8d59
13,Edo College,OSM,Primary,Mission/Faith-based,Edo,5.646953,6.332328,445,14,0.0315,77.23,High,26.34,High Risk,2.71,1,0,2.14,4.61,0.638,87.38,0.62,0.28,0.82,65.95,Medium,Medium Risk,#fee08b,#fc8d59
14,Holy Trinity School,OSM,Primary,Private,Lagos,3.387442,6.463999,695,25,0.036,80.92,High,13.46,Medium Risk,9.79,1,1,3.1,1.59,1.0,98.0,0.95,0.12,0.92,73.48,High,Low Risk,#1a9850,#1a9850
15,Fourier International Montessori School,OSM,Primary,Private,Lagos,3.373224,6.496842,510,10,0.0196,87.44,High,17.24,Medium Risk,10.0,1,1,4.45,0.62,1.0,86.89,0.95,0.12,0.92,75.34,High,Low Risk,#1a9850,#1a9850
16,Sheraton School,OSM,Junior Secondary,Private,Lagos,3.375429,6.487328,697,25,0.0359,61.32,Medium,10.47,Low Risk,7.75,0,0,3.29,0.92,1.0,89.39,0.95,0.12,0.92,72.38,High,Low Risk,#1a9850,#1a9850
17,Soro Montessori Nusery School,OSM,Tertiary,Private,Lagos,3.377225,6.489656,1327,45,0.0339,78.84,High,13.82,Medium Risk,10.0,1,1,3.55,1.91,1.0,91.25,0.95,0.12,0.92,75.58,High,Low Risk,#1a9850,#1a9850
18,St. Saviours Nusery School Complex,OSM,Junior Secondary,Private,Lagos,3.376301,6.489265,343,16,0.0466,89.06,High,7.8,Low Risk,10.0,0,1,5.43,3.18,0.9435,98.0,0.95,0.12,0.92,70.05,High,Low Risk,#1a9850,#1a9850
19,Trust Nusery and Primary School,OSM,Primary,Public,Lagos,3.373668,6.494735,546,15,0.0275,99.0,High,4.44,Low Risk,7.23,1,1,2.99,0.89,0.9814,64.31,0.95,0.12,0.92,71.27,High,Low Risk,#1a9850,#1a9850
20,None,OSM,Senior Secondary,Public,Imo,7.115268,5.897276,229,9,0.0393,66.3,Medium,19.52,Medium Risk,6.82,0,0,3.28,5.81,0.8798,61.17,0.55,0.28,0.85,69.73,High,Medium Risk,#1a9850,#fc8d59
21,"St Anthony's Primary School, Umudioka",OSM,Primary,Public,Anambra,6.919051,6.162479,381,15,0.0394,64.29,Medium,17.31,Medium Risk,7.92,0,1,3.29,2.63,1.0,89.81,0.6,0.22,0.88,69.22,High,Medium Risk,#1a9850,#fc8d59
22,Useh Secondary School,OSM,Primary,Public,Edo,5.571954,6.366895,664,15,0.0226,70.03,High,27.42,High Risk,5.1,1,1,2.05,1.14,0.9452,48.07,0.62,0.28,0.82,65.58,High,Medium Risk,#1a9850,#fc8d59
23,None,OSM,Junior Secondary,Public,Kogi,6.604372,7.561909,432,9,0.0208,70.91,High,33.77,High Risk,3.24,0,1,2.18,22.54,0.4003,79.01,0.4,0.45,0.72,53.07,Medium,High Risk,#fee08b,#d73027
24,ASCL Staff Comprehensive Secondary School III,OSM,Junior Secondary,Public,Kogi,6.629909,7.552791,360,13,0.0361,62.22,Medium,33.67,High Risk,3.96,0,1,1.98,3.07,0.5311,72.54,0.4,0.45,0.72,56.74,Medium,High Risk,#fee08b,#d73027
25,ASCL Staff Comprehensive Secondary School II,OSM,Primary,Private,Kogi,6.64498,7.554026,535,16,0.0299,72.7,High,32.11,High Risk,5.87,0,0,2.32,4.26,0.7178,60.93,0.4,0.45,0.72,56.37,Medium,High Risk,#fee08b,#d73027
26,None,OSM,Primary,Mission/Faith-based,Kogi,6.634775,7.55536,384,13,0.0339,66.85,Medium,36.67,High Risk,3.56,0,0,2.68,3.09,0.5661,72.61,0.4,0.45,0.72,58.71,Medium,High Risk,#fee08b,#d73027
27,None,OSM,Primary,Mission/Faith-based,Kogi,6.683548,7.543522,377,9,0.0239,79.9,High,38.62,High Risk,2.03,0,0,1.3,11.17,0.6524,69.23,0.4,0.45,0.72,56.96,Low,High Risk,#d73027,#d73027
28,None,OSM,Primary,Public,Kogi,6.601635,7.56454,424,10,0.0236,68.65,Medium,32.37,High Risk,4.46,0,1,3.07,0.7,0.5467,62.86,0.4,0.45,0.72,58.81,Medium,High Risk,#fee08b,#d73027
29,Ajaokuta Indian Language School,OSM,Senior Secondary,Private,Kogi,6.600841,7.557084,354,12,0.0339,54.98,Medium,35.37,High Risk,5.51,1,0,3.34,0.94,0.5598,69.73,0.4,0.45,0.72,62.78,Medium,High Risk,#fee08b,#d73027
30,ASCL Staff Secondary School I,OSM,Primary,Public,Kogi,6.600162,7.54962,585,19,0.0325,62.86,Medium,33.59,High Risk,4.58,0,1,2.21,26.42,0.6124,59.99,0.4,0.45,0.72,57.22,Medium,High Risk,#fee08b,#d73027
31,Queen Amina College,OSM,Primary,Public,Kaduna,7.421158,10.476237,460,14,0.0304,72.21,High,40.51,High Risk,5.69,0,0,3.55,0.37,0.5609,72.32,0.52,0.48,0.68,58.69,Medium,High Risk,#fee08b,#d73027
32,Dambo Sixth Form College,OSM,Junior Secondary,Public,Kaduna,7.419441,10.480374,309,7,0.0227,67.19,Medium,25.9,High Risk,4.41,0,1,3.32,13.45,0.4822,65.06,0.52,0.48,0.68,52.89,Low,High Risk,#d73027,#d73027
33,None,OSM,Senior Secondary,Private,Lagos,3.39441,6.534435,269,15,0.0558,92.35,High,8.83,Low Risk,9.8,1,0,2.91,3.69,0.9635,98.0,0.95,0.12,0.92,71.39,High,Low Risk,#1a9850,#1a9850
34,Holy spirit Catholic School,OSM,Primary,Public,Edo,5.635697,6.37139,493,14,0.0284,59.3,Medium,26.62,High Risk,3.07,0,1,2.38,0.89,0.8152,58.29,0.62,0.28,0.82,63.39,Medium,Medium Risk,#fee08b,#fc8d59
35,Kings Citadel Seminary School,OSM,Primary,Private,Edo,5.624668,6.365373,652,18,0.0276,95.43,High,29.13,High Risk,5.09,1,0,2.38,1.94,0.6855,89.81,0.62,0.28,0.82,66.85,High,Medium Risk,#1a9850,#fc8d59
